Protein_ID,Molecule_ID,Ki
0,0,8.309803963
1,1,10.29242992
2,1,6.778585911
1,2,10.76955128
2,2,6.170567513
1,3,10.20760822
2,3,5.949427128
1,4,10.58502674
2,4,6.917573929
1,5,10.13667679
2,5,6.522010803
1,6,9.899629593
1,7,9.130767822
1,8,9.856985092
1,9,8.69507885
1,10,9.8696661
1,11,10.42021656
2,11,6.885722637
1,12,8.931814194
1,13,9.754487038
1,14,9.835647583
1,15,10.08092213
1,16,9.954676628
2,17,6.187287331
1,18,9.679853439
1,19,9.238072395
3,20,8.359519005
4,20,10.44369793
3,21,6.130181789
4,21,7.321937084
3,22,7.453827858
4,22,8.899629593
3,23,7.246340275
4,23,8.856985092
3,24,7.904830456
4,24,10.26760578
3,25,6.647238731
4,25,7.129889011
3,26,6.130181789
4,26,7.264400959
3,27,7.573976994
4,27,9.024108887
3,28,6.980053425
4,28,9.481486321
3,29,7.481486321
4,29,7.919373512
3,30,8.486782074
4,30,10.92081833
3,31,7.390298843
4,31,8.58837986
3,32,7.308034897
4,32,9.557519913
3,33,6.628747463
4,33,8.402304649
3,34,7.83505249
4,34,10.01772881
3,35,7.160773277
4,35,8.232844353
5,36,7.301030159
7,36,7.301030159
5,37,7.301030159
5,38,7.376750946
7,38,7.958607197
5,39,7.301030159
2,40,5.920818806
2,41,5.920818806
2,42,6.619788647
2,43,6.853871822
2,44,6.387216091
2,45,6.221848965
2,46,5.958607197
2,47,6.161150932
2,48,6.443697453
2,49,6.55284214
2,50,5.8860569
2,51,7.026872158
2,52,6.19382
2,53,6.346787453
2,54,6.397940159
2,55,6.022276402
2,56,6.050610066
2,57,6.886056423
2,58,6.568636417
2,59,6.585026741
2,60,6.638272286
2,61,6.568636417
2,62,5.602059841
2,63,6.292429924
2,64,6.376750946
2,65,6.468521118
2,66,6.259637356
2,67,6.522878647
2,68,6.494850159
2,69,6.744727612
2,70,6.229147911
2,71,6.568636417
2,72,6.086185932
2,73,5.744727612
2,74,6.55284214
2,75,6.744727612
2,76,6.167490959
2,77,6.376750946
2,78,6.568636417
2,79,6.086185932
2,80,6.42021656
2,81,6.657577515
2,82,6.113509178
2,83,6.443697453
2,84,5.853871822
2,85,6.292429924
2,86,6.187086582
2,87,6.638272286
2,88,5.958607197
2,89,7.744727612
2,90,6.431798458
2,91,6.259637356
2,92,6.251811981
2,93,6.346787453
2,94,6.886056423
2,95,6.327902317
2,96,6.397940159
2,97,5.8860569
2,98,7.244125366
2,99,6.42021656
2,100,5.677780628
2,101,6.55284214
2,102,7.154901981
2,103,7.004364967
2,104,5.853871822
2,105,6.075720787
2,106,6.886056423
2,107,6.346787453
2,108,6.657577515
2,109,7.657577515
2,110,6.080922127
2,111,7
2,112,6.431798458
2,113,6.214670181
2,114,6.022276402
2,115,6.638272286
2,116,6.207608223
9,144,7.267606258
1305,144,6.09691
1306,144,3.920818806
9,145,7.09691
1987,145,6.585026741
10,146,7.593459606
11,146,9.920818329
10,147,9.508638382
11,147,10.04575729
10,148,9.244125366
11,148,9.522878647
10,149,8.387216568
11,149,9.795880318
10,150,9.1739254
11,150,10.22184849
10,151,9.236572266
11,151,10
10,152,10.69896984
11,152,10.39793968
10,153,9.823908806
11,153,10.30103016
10,154,9.698969841
11,154,10.22184849
10,155,8.236572266
11,155,8.749580383
10,156,8.798603058
11,156,10.69896984
10,157,9.744727135
11,157,10.52287865
10,158,7.411168099
11,158,8.657577515
12,159,6.346787453
12,160,8.744727135
12,161,7.522878647
12,162,7.06550169
3,163,6.034798145
4,163,9.187755585
3,164,7.019996643
4,164,7.14026165
3,165,7.931814194
4,165,10.17717838
3,166,7.050122261
4,166,7.605548382
3,167,8.756961823
4,167,9.436518669
3,168,7.471083164
4,168,7.250263691
3,169,6.381951809
4,169,9.082494736
3,170,6.06298399
4,170,8.17263031
13,171,5.630784035
14,171,6.481485844
286,171,6.62525177
325,171,6.725841999
461,171,7.443697453
13,172,5.812479496
14,172,6.522878647
286,172,9.336298943
461,172,7.375718117
14,173,5.739928722
14,174,6.366531372
14,175,6.468521118
14,176,5.669586182
14,177,5.393618584
14,178,4.698969841
397,178,6.707744122
13,179,5.358525753
13,180,6.318758965
14,180,6.721246243
14,181,5.928117752
14,182,6.221848965
13,183,5.815308571
14,183,6.136677265
14,184,5.042871952
14,185,4.931814194
14,186,5.838632107
13,187,5.173277378
14,187,5.939301968
14,188,5.917214394
13,189,5.595166206
14,189,6.119186401
13,190,6.387216091
14,190,8.698969841
13,191,5.468521118
14,191,6.008773804
13,192,5.042871952
224,192,5.187086582
13,193,6.301030159
14,193,6.008773804
461,193,6.790484905
13,194,6.09691
13,195,6.920818806
14,195,6.113509178
13,196,6.408935547
13,197,5.667561531
3,198,6.849857807
4,198,9.790485382
3,199,7.295849323
4,199,8.469799995
3,200,7.542118073
4,200,9.801342964
3,201,6.609065056
4,201,8.317854881
3,202,7.256490231
4,202,10.29242992
3,203,6.319936752
4,203,9.621602058
3,204,6.844967842
4,204,7.997402191
3,205,6.621420384
4,205,8.143875122
2,206,7.283996582
15,206,8.397939682
16,206,6.562249661
230,206,9.301030159
233,206,9.096910477
2,207,9.508638382
2,208,9.744727135
2,209,9.795880318
2,210,7
2,211,8.091514587
2,212,9.356547356
2,213,8.823908806
2,214,8.920818329
2,215,8.823908806
2,216,9.602060318
2,217,9.19382
2,218,8.337242127
2,219,8.677781105
2,220,9.397939682
2,221,9.267605782
2,222,8
2,223,8.8860569
2,224,9.366531372
2,225,8.387216568
3,226,11.52287865
4,226,10.34678745
3,227,11.25963688
4,227,9.795880318
3,228,10.74472713
4,228,9.958607674
3,229,11.21467018
4,229,9.337242127
3,230,11.33724213
4,230,9.721246719
3,231,11.36653137
4,231,9.8860569
3,232,11.12493896
4,232,9.229147911
3,233,11.74472713
4,233,10.37675095
45,234,8.522878647
18,235,9
18,236,8.744727135
18,237,9.017728806
18,238,9.221848488
18,239,9.408935547
18,240,9.568635941
18,241,9.568635941
18,242,9.119186401
18,243,8.769551277
18,244,7.221848965
18,245,8.823908806
18,246,10.0409584
18,247,9.744727135
18,248,9.494850159
18,249,6.886056423
18,250,8.337242127
18,251,8.823908806
18,252,9.080922127
18,253,8.200659752
18,254,8.275724411
18,255,7.721246243
18,256,8.221848488
18,257,5.537601948
18,258,8.200659752
18,259,8.522878647
18,260,8.431797981
18,261,8.055517197
18,262,9.468521118
18,263,8.337242127
18,264,7.78515625
18,265,8.769551277
18,266,9.214670181
18,267,9.022275925
18,268,8.920818329
18,269,8.823908806
18,270,9.443697929
18,271,6.744727612
18,272,8.958607674
18,273,8.638272286
18,274,9.397939682
